date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc,server1b,server2b,server1b_ioc,server2b_ioc
2017-01-12,8:39:11,Sydney,Doubles,WTA,16,Sania Mirza,Vania King,0,DSSSRA;RSrRSr;sSrSS;SSrrSRR;RRSSRSS;SSrSs;RSDrSSS.SSSRs;SSsrS;RRSRR;SSAS;rRSSSDr;SsSRS;SSSs;SSrSS,6-1 6-2,1,SF,Hardcourt,00:51:05,IND,USA,Barbora Strycova,Yaroslava Shvedova,CZE,KAZ
2017-01-13,3:44:17,Sydney,Doubles,WTA,16,Sania Mirza,Timea Babos,1,SSsS;SSRSS;SSsRS;SDSDRss;SrRrSR;SDsSDs;SRsss;DSASS;SSSs;ssSS.RRRSSR;SSsS;SRRrsR;RSSrRr;SSRrRsR;RRrr;sSSDRS;rSSSS;RSSrSS;rSsSrRs,4-6 4-6,1,F,Hardcourt,01:12:56,IND,HUN,Barbora Strycova,Anastasia Pavlyuchenkova,CZE,RUS
2017-01-18,1:12:34,Australian Open,Doubles,WTA,64,Destanee Aiava,Lauren Davis,0,AsRRSS;SrDrSR;RSrRSR;SRSSS;sRSrsRRD;DRSSRD;RRSSSRRSRSrR;RRSSrSSRSRSRSS;SSSrRS;rsSss.AsRRSs;SSRRSRSS;RrsSSs;RSSrRASS;SSRSs;RRSRSSRR;SSrrRR;AsSS;SrSSRrSrDsDSrr;RSRSSS,6-4 6-4,1,R64,Hardcourt,01:19:50,AUS,USA,Alicia Smith,Megan Moulton-Levy,AUS,USA
2017-01-18,1:15:08,Australian Open,Doubles,WTA,64,Shuko Aoyama,Ekaterina Makarova,0,SrSsRS;SSRsRs;RSSSrS;srSrSRSS;SRSRRSsS;RSsrSS;SRRsrSDSSRDR;SRrSrR;RSrRR;SSsRS.srRSsS;SsRSS;RSDsrsRR;sRSSRs;sRrsSrRSsrSs;RSrSRR;SSDsS;SRRsRr;DRSsRR;SSDSs;DRSSDSSS;RRSSRR.SrSrSRRR;RSrrSr;RRDR;sSRsrS;SRRSSs;rSsDSDSRSS;DRRD;SSRSRrSS,6-4 5-7 6-2,1,R64,Hardcourt,02:14:50,JPN,RUS,Makoto Ninomiya,Elena Vesnina,JPN,RUS
2017-01-18,1:18:05,Australian Open,Doubles,WTA,64,Chen Liang,Hao-Ching Chan,1,RSRSRr;sSRsS;RSRsrSSS;SsRARs;rRrsR;SSRsRRRR;SSrRSS;SsRRRSRr;DSSRSA;SrrrSSSs;SASS;RASRrR.DssSrs;SSRRSrDR;SRSRSs;SRrsSrSRSrrSRSRSRR;rSDsRr;SSSDs;SRRSSs;RRRR,5-7 2-6,1,R64,Hardcourt,01:26:22,CHN,TPE,Zhaoxuan Yang,Yung-Jan Chan,CHN,TPE
2017-01-18,1:18:44,Australian Open,Doubles,WTA,64,Bethanie Mattek-Sands,Chia-Jung Chuang,1,DSSSA;rDRSr;DRSSSS;DrRr;SSSrS;RRSrsssRSRsS;RSsSrs.DsSSRRSRSs;SASrS;sSDsrS;SRSSs;SSRRrSSS;sSSDrS;RDsRsSSS;RsSRrSsS;SRDSSS;SSrSs;RDSSRR;SSSS,1-6 5-7,1,R64,Hardcourt,01:08:42,USA,TPE,Lucie Safarova,Nicole Gibbs,CZE,USA
2017-01-18,1:19:05,Australian Open,Doubles,WTA,64,Ellen Perez,Eri Hozumi,0,RSSSS;SsSS;RSSSS;sRDSrSrsSs;RRRR;sRSSRS;SSSS;RRRR;SSSS;RSSSS;SsSDRRSDSS;SSSS;r/Ss/AR/SS/SS/s.RSSRsS;RRSsRSRR;SSSRS;RSRSSS;SRSRRSRR;SRSSS;SSRSRS;SRSrSS;RSSRRSRSSRRR;DRSsRr;SSsRs;SSrSRS;S/SS/Rs/RR/SS/R,7-6(3) 7-6(3),1,R64,Hardcourt,01:45:12,AUS,JPN,Olivia Tjandramulia,Miyu Kato,AUS,JPN
2017-01-18,2:51:55,Australian Open,Doubles,WTA,64,Liezel Huber,Madison Brengle,0,DRRsD;RRSSSS;RRRSSR;RRRR;SRSRDR;SSRDRSRR;RSRSSRSRSRRSSRRSSS;RSRSSRRSSRRR;DRDSD;SSRRRR;SSSS;SSSRS;R/RR/SS/RR/RD/SR.RRRSSR;RRSSSS;SRRSSDRR;RSRSSS;SSSRRS;RSRRSR;RRSRR;SSDRDSRSRSRSSRSRSRSRDSSRSRSS,7-6(4) 6-2,1,R64,Hardcourt,01:45:40,USA,USA,Maria Sanchez,Arina Rodionova,USA,AUS
2017-01-18,3:07:50,Australian Open,Doubles,WTA,64,Alize Cornet,Darija Jurak,1,SSRss;RrSSSrRr;DDSArD;SsSs;SSrSS;DSSsDs;SSRss;SrRRR;RSRrSR;RDRsSR.rSDRsSSs;ssSRS;RSRSSRRSRsSRDR;SSRSS;SSsrS;sDSRSS;SSrSRS;DRRSAsDSRsSs;SrRssrSRSrRSRr.sSSS;RSSSS;SRrRSSrD;RSsss;SSSrs;RssrRR;sRRRR;RSRRsssDSS;SSDsS;rrsrSSsRrr;SSrRSrrr;SSSRRs,4-6 6-3 5-7,1,R64,Hardcourt,02:16:52,FRA,CRO,Magda Linette,Anastasia Rodionova,POL,AUS
2017-01-18,5:05:15,Australian Open,Doubles,WTA,64,Katarina Srebotnik,Christina McHale,1,SSSS;SrSRss;SSRDRSSrDR;RrDSr;SsrrsRsrRR;SRRrD;RRDD;RrRSSSRSrSSDsRsS;RSRsSS;RRSRSR;RSRRSsSS;RRSSDR.sRSSRS;RSSSS;SSSS;RSRSRSArRR;rRsSSS;SSSrs;RRSRSR;SsRsRRsS;rsRSDR;sSRRRSRR;RrSSRsRR;SRSSRRRSRR;S/sS/sS/sR/SR/sR/RS/R,5-7 6(6)-7,1,R64,Hardcourt,01:54:49,SLO,USA,Saisai Zheng,Asia Muhammad,CHN,USA
2017-01-18,5:07:21,Australian Open,Doubles,WTA,64,Mirjana Lucic-Baroni,Monica Niculescu,0,SSsrS;RSsrSRrSRR;sSSRrS;RSRsSRRR;rASSS;SSsRS;SSSS.sSAS;SRSsS;rSRRSSRSRR;SSSS;SSrsA;SRsRSRRSSRSA;RRSRSSSS;SrSRsRsRRR;RsRrSr;SAsRRS,6-1 6-4,1,R64,Hardcourt,01:02:37,CRO,ROU,Andrea Petkovic,Abigail Spears,GER,USA
2017-01-18,5:11:37,Australian Open,Doubles,WTA,64,Demi Schuurs,Danka Kovinic,0,rSSsRS;RDSSSs;SrSRSS;AsRDSRSrsS;SSSS;RSRDSSSS;sSss;RsRSSRSS;DSRrR;SSRDSs.SsSS;SSSS;DssSS;Rrrsr;RRRr;RsSDRSRSSs;SSSDS;sRSSRrRSRSss;SSSrS;RSRSSS;sSRRrR;sSSRrS,6-4 7-5,1,R64,Hardcourt,01:31:48,NED,MNE,Renata Voracova,Laura Siegemund,CZE,GER
2017-01-18,5:50:25,Australian Open,Doubles,WTA,64,Daria Gavrilova,Sara Errani,0,RSRRR;SRRSRD;RRRSSr;RSRSRSDR;SRRSRD;SSSRRRSS;SSSRRRSRRSRR;RSRSSS.RSSSS;RSSSRS;RSRSRR;DSRSSRSRRSRR;RRRR;RRRSASRSSS;SRRRR;RRRR;SRSSRS;SrSRRSRSRARASS,6-2 6-4,1,R64,Hardcourt,01:25:51,AUS,ITA,Daria Kasatkina,Kirsten Flipkens,RUS,BEL
