date,start_time,tournament,type,tour,draw,server1,server2,winner,pbp,score,adf_flag,round,surface,duration,server1_ioc,server2_ioc
2016-06-10,11:14:29,s-Hertogenbosch,Singles,ATP,32,Ivo Karlovic,Adrian Mannarino,0,RDAAsrSS;RDASrr;ASRrDSDSRsSS;SSsA;DSAAA;SSSA;AASA;DrsRsSDSSs;SsSA.RSSSs;sSAA;SSrSRs;ArAAA;SrDRr;ASAA;SRrSrssS;sAsA;DsSSrA;sASS,6-3 6-4,1,QF,Grass,01:02:26,CRO,FRA
2016-06-10,12:40:00,s-Hertogenbosch,Singles,ATP,32,Gilles Muller,David Ferrer,1,sSSRA;rssRsrSRRSsS;RRSrD;sSRss;ssAs;ssSS;rARSArSA;sRSsDs;ArSrAS;SRsSS.rSSSRRsRSS;SSRSS;SSRRDSAS;sRDSSS;RSrAADss;SRsRSS;ASSS;SsSS;sSAs;rrsRSr.ArRArsSA;SsSRDrRSARrSSRss;rrSRssSs;SsSS;rSSRsS;SSSs;RsrSSS;RSssA;DrSsSS;AsSs;DASss;SSSS;s/Ss/sr/RR/AS/ss/s,6-4 4-6 6(5)-7,1,QF,Grass,02:18:02,LUX,ESP
2016-06-10,14:09:09,Stuttgart,Singles,ATP,32,Roger Federer,Florian Mayer,0,SRSrrsAs;RsRSsS;SSSrs;RAsSs;ArSsDRSs;SSAS;SASS;SRsSs;SrSsrA;rSSSs;RSSSrS;rsrsrsSs;A/RS/SA/rS/sA.rSRSSrRSRASS;DARRsr;rRsRssSRRR;ASSs;RRSSSs;ssArA;ASSS;SAAA;sRRSsS;SSSS;ASSRA;rsRrSsDSAs;R/SS/rr/Sr/R,7-6(2) 7-6(1),1,QF,Grass,01:25:32,SUI,GER
2016-06-10,14:33:54,s-Hertogenbosch,Singles,ATP,32,Sam Querrey,Stefan Kozlov,0,ASSs;RDsRsD;srSsA;SRDSRsAS;SSrsA;SSSDrS;RSARSs;SsRrSS;SSss.SSrRRR;ASSDS;rRSSrr;AAss;rSSRDR;rsSRrSrssrrSSS,6-3 6-0,1,QF,Grass,00:54:56,USA,USA
2016-06-10,16:10:32,Stuttgart,Singles,ATP,32,Radek Stepanek,Philipp Kohlschreiber,0,sSSrs;ssrsS;rSsSDRRsSrArRSsS;srrSSA;RSRsSRSs;rSSsRs;ASSA;ArrArsArADsrsRSrRsss;ArDRSR;rsrSSA.SSRsRS;ARDrSSsS;RSSsS;SRsSS;rSRSSRAA;RrsSrAsS;ArSsA;sSSA;SSsrRs;ssrAS;ArsRsrRR;sRSrSS,6-4 7-5,1,QF,Grass,01:41:10,CZE,GER
2016-06-10,17:50:36,s-Hertogenbosch,Singles,ATP,32,Nicolas Mahut,Bernard Tomic,0,SssS;SSss;RSRrr;DSrsSA;SSrRRSsS;SDRSrASS;AArrSRDSrASS;RsRAAA;rSSsS;rrRSD;DSDSAS;ASSrs;r/Ss/rs/Rr/SS/As/r.ssAS;SSSS;SrASs;SsArrrsrAS;rrSRR;ssSs;Asss;rSSSRA;AADRSs;ARSsS.DARrAr;SrsrSS;SrsSS;SsSA;SsrSS;SSRSS;RRRR;AARRSA,6(5)-7 6-4 6-2,1,QF,Grass,01:47:50,FRA,AUS
2016-06-10,18:20:14,Stuttgart,Singles,ATP,32,Gilles Simon,Juan Martin Del Potro,0,ssADRs;ssAA;sSRSS;SsRAs;RssAS;SSSs;rASSA;rSSSS;SSsS;SRSRSs;SssRS;ARSSS;S/Rs/ss/SD/rS/D.SSsDS;SSsDrs;sASs;sArrsrSRSrrssrSS;SRrRSSSRSs;srSss;rASSS;RRsrSR;AASs.ArSrRsDSrARr;sRSsS;SSDSrRrr;SDSSS;rSrRsr;SsRSS,6(3)-7 6-3 6-0,1,QF,Grass,02:04:33,FRA,ARG
2016-06-11,12:29:01,Stuttgart,Singles,ATP,32,Roger Federer,Dominic Thiem,1,SRSsS;sRssS;SrrsSA;RsRSsDrR;rSSSRA;RsSSrDsS;ASrDRSSS;SrARSs;ssSS.sSrSrA;SrSRrR;RrSSsS;RRSSRr;sSrSS;ASSRs;SrsrRR;rRSSsS;DDSRSr;sAsrrS;RSDSSs;SSSS;s/sS/sD/DS/AS/ss/SR/rR/S.sSRRArArrSSS;rRARssAS;SssrS;SRrrSSsrAs;AArsrrSRsS;ASSS;rRSSRr;SRSSA;rSSRSS;SAsrs,6-3 6(7)-7 4-6,1,SF,Grass,02:09:32,SUI,AUT
2016-06-11,13:42:30,s-Hertogenbosch,Singles,ATP,32,Gilles Muller,Ivo Karlovic,0,rrsASS;sDsSs;sSAA;sRSAs;ASSS;SSSrs;ASRsA;DSDSAs;SSAA;SsAA;AsSS;AsrAs;A/AD/sS/SA/AS/SA/S.SRAsA;SASA;AsSA;SrDsAA;SsRADS;AsSRS;SSSDA;rrASss;ArSsS;SSSA;ARRSSA;AAAA;S/SS/rA/SS/AA/SS,7-6(5) 7-6(4),1,SF,Grass,01:25:29,LUX,CRO
2016-06-11,15:49:25,Stuttgart,Singles,ATP,32,Juan Martin Del Potro,Philipp Kohlschreiber,1,AArRsS;SSSRS;SDRSrSrR;ArSsS;sRRsSS;ArRsrSSDsA;SASs;SsArA;rRsRsr.AAsrs;SSss;SSsS;RRsrSAsS;rSAsS;SSSS;SsrrArSS;rRASSS;SrDsss;SRRrASrR,3-6 4-6,1,SF,Grass,01:23:21,ARG,GER
2016-06-11,17:50:52,s-Hertogenbosch,Singles,ATP,32,Nicolas Mahut,Sam Querrey,1,RSSSS;sAAA;SSSS;RRSAsRRSRAsS;sSRss;ssSA;SRRRssSA;ASSDA;RSSSS;ASRAS;SSSRS;SSRSS;r/SS/ss/Sr/SS/SA/r.AARSrS;RSSSS;RrsRsr;SSSRrS;sRSSA;SAAA;RSASrS;SSsrs;RRASsS;SDRsSs.SSSS;SsDrSS;SSSS;rsRSSrSS;rRSSRsrsSS;sSrSS;SAAA;sSSRS;SRrRSR;SSSs,7-6(5) 4-6 4-6,1,SF,Grass,01:56:03,FRA,USA
2016-06-13,12:53:40,Halle,Singles,ATP,32,Lucas Pouille,Kei Nishikori,1,sSrRsS;DSrrSr;sSSRRs;ssSs;DrASrr;SSSrRS;RsSAA;sssS;SSSRrS;SSSS;RSSSS;SSsRs;S/Rs/Rr/sS/Ss/rR/s.RASSS;rrrsSR;SRARSs;sASA;SSSs;rRrSR;SRSAS.RSSSS;ssSS;RSrSsRSS;ASsrS;ssRsS;RSsSA;rSrsRsrr;RsrSArSS;SSsrs;sRRSSS,7-6(5) 1-6 4-6,1,R32,Grass,01:51:27,FRA,JPN
2016-06-13,15:09:26,Halle,Singles,ATP,32,David Goffin,Borna Coric,1,ssSrs;rrsRSSSA;SRsSRS;RSrsSs;sSRRsS;RRRSr;SsSRS;AsrSs;rSRSRR;rssSA;SsAA;SrSrSs;R/Ss/RA/rr/Sr/Rr/s.RRASArrR;RRsrr;SSRSRS;SSSDrS;SRDSSS;SSSS;SSsrs;sSrSRS;SrSrSrrSSS;ADRsss;ssRRsRsRSRRSsS;sSDsrS;s/SR/sS/rs/RS/r.SSSS;DSSrSrrsss;SrRDSssrSRSs;SRSSA;ASDSS;rRSsSS;rSrAAs;RRSSSRsRsS;SRAsA;RssRDR,6(5)-7 7-6(3) 4-6,1,R32,Grass,02:47:22,BEL,CRO
